feature,importance
dim_703,0.093279384
dim_331,0.04969404
dim_504,0.038313415
dim_289,0.018151492
dim_258,0.016808635
dim_799,0.011340753
dim_270,0.010913252
dim_106,0.010611474
dim_476,0.009134369
dim_778,0.008782178
dim_884,0.008405069
dim_670,0.007728364
dim_113,0.007597556
dim_944,0.0070593585
dim_279,0.0069296146
dim_814,0.0066402415
dim_911,0.006425794
dim_808,0.0061778952
dim_475,0.00598611
dim_820,0.005897559
dim_464,0.0054297103
dim_361,0.0051414873
dim_327,0.005132
dim_389,0.0050531775
dim_420,0.00502163
dim_488,0.004990231
dim_904,0.004968713
dim_964,0.0047111018
dim_62,0.0046590664
dim_66,0.0046195616
dim_927,0.00460077
dim_528,0.004597214
dim_218,0.0045863492
dim_525,0.0045780023
dim_540,0.004577952
dim_1022,0.0043267
dim_39,0.004195552
dim_336,0.004174515
dim_329,0.004134621
dim_110,0.0040795566
dim_41,0.0040289112
dim_636,0.003996748
dim_441,0.0038904452
dim_249,0.0038855034
dim_183,0.0038395924
dim_209,0.003785118
dim_152,0.00377377
dim_280,0.0036956107
dim_711,0.0036705313
dim_319,0.003621752
dim_731,0.0035819227
dim_184,0.0034020904
dim_18,0.0033517631
dim_844,0.003315596
dim_655,0.003283096
dim_1001,0.0031753327
dim_654,0.0031625202
dim_735,0.0031574394
dim_269,0.0031283202
dim_589,0.0031019512
dim_367,0.003077175
dim_805,0.003052599
dim_428,0.0030375393
dim_240,0.0030128513
dim_244,0.0029691611
dim_462,0.0029324125
dim_755,0.002925027
dim_637,0.002921488
dim_139,0.0029147542
dim_694,0.002886211
dim_313,0.0028753828
dim_345,0.0027906105
dim_676,0.0027696483
dim_93,0.002768732
dim_878,0.0027645745
dim_773,0.0027381761
dim_684,0.0026707186
dim_100,0.0026437575
dim_578,0.002632118
dim_174,0.0026092078
dim_894,0.0025922852
dim_890,0.0025866732
dim_29,0.002584735
dim_89,0.0025602125
dim_899,0.002549765
dim_213,0.0025474743
dim_408,0.0025320535
dim_573,0.0025199933
dim_45,0.002493959
dim_736,0.0024885582
dim_569,0.0024882914
dim_660,0.002461127
dim_314,0.0024054472
dim_558,0.00240188
dim_774,0.0023910066
dim_623,0.0023748768
dim_509,0.002317315
dim_886,0.0022920195
dim_571,0.0022812958
dim_934,0.002273666
dim_560,0.0022550314
dim_641,0.002247448
dim_103,0.0022386215
dim_410,0.0022198495
dim_727,0.0022022217
dim_298,0.0021830604
dim_953,0.0021694966
dim_144,0.0021465064
dim_292,0.002144407
dim_906,0.0021135635
dim_881,0.0020882657
dim_452,0.002051385
dim_734,0.002049592
dim_59,0.0020461662
dim_179,0.0020438945
dim_590,0.0020300758
dim_1,0.0020286846
dim_712,0.0020174764
dim_12,0.0020116002
dim_401,0.0020106079
dim_972,0.0019917185
dim_256,0.0019730825
dim_239,0.0019684846
dim_605,0.0019637195
dim_533,0.0019588377
dim_1002,0.0019583302
dim_544,0.0019198686
dim_780,0.0018987091
dim_914,0.0018929406
dim_961,0.0018911477
dim_378,0.0018879863
dim_35,0.0018876031
dim_30,0.0018739536
dim_26,0.0018693649
dim_422,0.0018282335
dim_567,0.001818038
dim_510,0.0018167024
dim_747,0.0018082896
dim_759,0.0018066836
dim_897,0.0018023106
dim_340,0.0017982171
dim_456,0.001789414
dim_242,0.001779803
dim_46,0.001753095
dim_822,0.0017437338
dim_672,0.0017159772
dim_8,0.0017122178
dim_856,0.0017104044
dim_717,0.0017074373
dim_7,0.0016792193
dim_95,0.0016769768
dim_431,0.0016712005
dim_645,0.001665126
dim_2,0.001643064
dim_419,0.0016401537
dim_141,0.0016313804
dim_698,0.001631321
dim_82,0.0016242685
dim_238,0.0016235126
dim_900,0.0016206848
dim_825,0.001616836
dim_699,0.0016061901
dim_463,0.0015951216
dim_25,0.0015745744
dim_618,0.0015695803
dim_888,0.0015414493
dim_1007,0.0015258084
dim_702,0.0015002978
dim_795,0.0014972254
dim_413,0.0014960543
dim_675,0.001495697
dim_277,0.0014811028
dim_386,0.0014622526
dim_429,0.0014499715
dim_577,0.0014459072
dim_967,0.0014386391
dim_86,0.0014373328
dim_848,0.0014327306
dim_468,0.0014158363
dim_338,0.0014152667
dim_1017,0.0014116301
dim_38,0.0014055208
dim_929,0.0013910613
dim_149,0.0013906307
dim_115,0.0013747923
dim_24,0.0013737039
dim_325,0.0013719022
dim_403,0.001368716
dim_983,0.0013657738
dim_765,0.0013537201
dim_208,0.0013499808
dim_535,0.0013446276
dim_806,0.0013439269
dim_695,0.0013294789
dim_791,0.0013293911
dim_191,0.0013119805
dim_430,0.0013044133
dim_353,0.0013040784
dim_296,0.0012968127
dim_788,0.0012698356
dim_505,0.0012488663
dim_502,0.001248092
dim_11,0.0012450081
dim_358,0.0012430812
dim_451,0.0012363907
dim_4,0.0012333432
dim_807,0.0012305066
dim_76,0.0012284545
dim_1012,0.001228152
dim_962,0.0012238896
dim_921,0.001222836
dim_847,0.0012226404
dim_887,0.0012209751
dim_718,0.001214975
dim_821,0.0012137087
dim_658,0.0012108306
dim_166,0.0012104303
dim_473,0.0011993315
dim_593,0.0011971764
dim_112,0.0011951994
dim_162,0.0011950984
dim_195,0.0011920893
dim_726,0.0011905611
dim_669,0.001183793
dim_786,0.0011766235
dim_531,0.00116726
dim_198,0.0011610084
dim_6,0.0011465396
dim_974,0.0011429128
dim_940,0.0011400521
dim_271,0.0011399963
dim_981,0.0011344651
dim_716,0.0011232928
dim_15,0.0011227037
dim_135,0.0011182022
dim_480,0.0011017636
dim_72,0.0010850285
dim_405,0.0010832684
dim_630,0.0010805677
dim_147,0.0010782937
dim_690,0.0010752975
dim_247,0.001063902
dim_73,0.0010633894
dim_333,0.0010608849
dim_47,0.0010571583
dim_762,0.0010530156
dim_136,0.0010467452
dim_691,0.0010464098
dim_158,0.0010434863
dim_104,0.001041875
dim_796,0.0010414664
dim_771,0.0010407777
dim_541,0.0010366151
dim_562,0.0010322322
dim_486,0.0010319733
dim_48,0.0010241657
dim_212,0.0010163484
dim_189,0.0010136736
dim_833,0.0010113993
dim_686,0.0010112552
dim_346,0.0010065563
dim_417,0.0010054648
dim_470,0.0009978361
dim_715,0.0009965848
dim_604,0.00097650965
dim_582,0.00095771253
dim_751,0.0009556361
dim_9,0.000950705
dim_175,0.00094986707
dim_1006,0.0009468193
dim_335,0.0009430032
dim_143,0.0009423757
dim_1010,0.00093002163
dim_919,0.0009243134
dim_137,0.00091983855
dim_667,0.00091031165
dim_880,0.00089997903
dim_928,0.0008892579
dim_947,0.00088863395
dim_950,0.00088250963
dim_872,0.0008774569
dim_750,0.0008731041
dim_494,0.00086779287
dim_603,0.0008644873
dim_915,0.0008555329
dim_624,0.0008526393
dim_344,0.00083288393
dim_709,0.0008325347
dim_169,0.00081609207
dim_299,0.00081481686
dim_70,0.0008144841
dim_145,0.00081296294
dim_640,0.000809978
dim_411,0.0008050087
dim_185,0.0007878763
dim_766,0.00078592467
dim_772,0.00078088127
dim_357,0.00077846705
dim_865,0.0007761436
dim_101,0.0007674606
dim_450,0.0007592373
dim_381,0.00075589726
dim_787,0.00074613804
dim_812,0.00073717616
dim_601,0.00073595275
dim_348,0.0007344353
dim_180,0.0007303996
dim_607,0.00072886003
dim_36,0.00072791555
dim_1011,0.0007230683
dim_918,0.00072144833
dim_376,0.0007200448
dim_425,0.00071479066
dim_662,0.00071316457
dim_909,0.0007086062
dim_446,0.0007081355
dim_168,0.0006945496
dim_828,0.0006934106
dim_382,0.00069139746
dim_677,0.0006901842
dim_165,0.00068881235
dim_83,0.0006761642
dim_517,0.000664624
dim_362,0.0006629547
dim_785,0.00066095387
dim_109,0.0006605843
dim_321,0.00065958267
dim_393,0.0006585584
dim_297,0.0006581314
dim_524,0.0006554054
dim_594,0.00064807344
dim_210,0.0006369622
dim_547,0.00063636963
dim_650,0.0006346259
dim_869,0.000631383
dim_433,0.00062244455
dim_310,0.00062191417
dim_294,0.0006090974
dim_399,0.0006038289
dim_85,0.00059659535
dim_91,0.0005927886
dim_1019,0.00058539107
dim_882,0.0005833392
dim_978,0.0005830884
dim_55,0.00058295415
dim_354,0.0005814289
dim_123,0.0005702765
dim_99,0.00057001214
dim_565,0.0005654171
dim_969,0.0005642727
dim_523,0.00056412653
dim_220,0.0005638175
dim_977,0.00056318013
dim_202,0.0005618605
dim_1021,0.0005547885
dim_134,0.0005531878
dim_16,0.00055302976
dim_768,0.00055113254
dim_44,0.0005499182
dim_784,0.00054730126
dim_465,0.0005359803
dim_837,0.0005354127
dim_409,0.0005316289
dim_98,0.00052713766
dim_960,0.0005253836
dim_615,0.00052441336
dim_13,0.0005227693
dim_364,0.00051994226
dim_1005,0.0005146692
dim_987,0.00050887355
dim_813,0.00050579984
dim_946,0.0005031902
dim_400,0.0005016147
dim_551,0.0004994887
dim_846,0.0004982005
dim_632,0.00049771136
dim_56,0.00049380114
dim_779,0.0004905574
dim_649,0.00049006357
dim_14,0.00048535573
dim_648,0.0004851028
dim_553,0.0004840435
dim_587,0.0004761903
dim_479,0.0004703828
dim_823,0.0004702797
dim_666,0.00046657404
dim_834,0.00046200072
dim_896,0.0004580374
dim_935,0.00045648805
dim_521,0.00045630545
dim_459,0.00045151947
dim_164,0.00044841607
dim_997,0.00044833787
dim_20,0.00044773318
dim_674,0.00044680256
dim_561,0.00044642924
dim_440,0.00044187123
dim_680,0.00043914918
dim_118,0.00043694617
dim_307,0.00043671558
dim_738,0.00043614782
dim_368,0.00043433075
dim_219,0.0004334238
dim_802,0.00042652828
dim_117,0.0004237099
dim_150,0.00041949298
dim_491,0.00041855665
dim_484,0.00041836558
dim_506,0.00041563017
dim_489,0.00041540136
dim_347,0.00041283507
dim_119,0.00040547783
dim_33,0.000405393
dim_469,0.00040417392
dim_889,0.0003995902
dim_493,0.00039908342
dim_204,0.00039662476
dim_69,0.0003963083
dim_625,0.00039325398
dim_194,0.00039178279
dim_32,0.000391358
dim_741,0.0003913429
dim_725,0.0003908425
